id,titulo,autor,saga,orden_saga,genero,editorial,formato,edicion_especial,detalles_edicion,valoracion_personal,resena_personal,estado,paginas_total,paginas_leidas,fecha_inicio,fecha_fin,tiempo_lectura_min,cita_favorita,etiquetas,imagen_portada_url
LIB0093,Wildfire,Hannah Grace,Maple Hills,2.0,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0094,Romper el círculo,Colleen Hoover,It Ends With Us,1.0,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0095,Volver a empezar,Colleen Hoover,It Ends With Us,2.0,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0096,Verity,Colleen Hoover,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0097,Ugly Love,Colleen Hoover,,,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0098,Confess,Colleen Hoover,,,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0099,Captive,Ailynn Phoenix,Captive,1.0,Dark Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0100,Power,Ailynn Phoenix,Captive,2.0,Dark Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0101,Vengeance,Ailynn Phoenix,Captive,3.0,Dark Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0102,Reina Roja,Juan Gómez-Jurado,Antonia Scott,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0103,Loba Negra,Juan Gómez-Jurado,Antonia Scott,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0104,Rey Blanco,Juan Gómez-Jurado,Antonia Scott,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0105,Todo Arde,Juan Gómez-Jurado,Aura Reyes,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0106,Todo Vuelve,Juan Gómez-Jurado,Aura Reyes,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0107,Cicatriz,Juan Gómez-Jurado,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0108,El Paciente,Juan Gómez-Jurado,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
